排名,电影名,rating,predicted_fixed_director,director_effect,actors_effect_sum_by_shares,actors_effect_sum_by_actor_means,predicted_with_actor_means,final_residual_with_actor_means
28,龙猫 となりのトトロ,9.2,9.311260959318075,-0.07939022404076052,-0.11126095931807534,-0.0432591562045892,9.268001803113485,-0.06800180311348569
29,活着,9.3,9.139701163902751,0.0,0.16029883609724926,0.03018806376101931,9.16988922766377,0.1301107723362307
30,怦然心动 Flipped,9.1,9.638385890027545,0.0,-0.5383858900275449,-0.5383858900275449,9.1,0.0
31,蝙蝠侠：黑暗骑士 The Dark Knight,9.2,9.072687239225912,-0.205971256229327,0.12731276077408715,0.05687208903437516,9.129559328260287,0.07044067173971236
32,指环王3：王者无敌 The Lord of the Rings: The Return of the King,9.3,9.201633984776349,0.10363907030971875,0.09836601522365207,-0.077157242214316,9.124476742562033,0.17552325743796793
33,我不是药神,9.0,9.730012233422517,0.0,-0.7300122334225172,-0.7300122334225172,9.0,0.0
34,乱世佳人 Gone with the Wind,9.3,9.005657800240296,0.0,0.2943421997597042,0.3090119009288146,9.31466970116911,-0.014669701169109928
35,飞屋环游记 Up,9.1,9.135925359013495,-0.29281499063561345,-0.03592535901349514,-0.010596951148287886,9.125328407865206,-0.025328407865206515
36,让子弹飞,9.0,9.47637211438153,-0.11838542838339539,-0.4763721143815296,-0.1015382014159488,9.374833912965581,-0.3748339129655811
37,哈尔的移动城堡 ハウルの動く城,9.1,9.247451243473344,-0.07939022404076052,-0.14745124347334482,-0.14745124347334482,9.1,0.0
38,十二怒汉 12 Angry Men,9.4,8.793993184192516,0.0,0.6060068158074845,0.6060068158074845,9.4,0.0
39,素媛 소원,9.3,8.993359155852172,0.0,0.3066408441478288,0.3066408441478288,9.3,0.0
40,海蒂和爷爷 Heidi,9.3,8.986624201514347,0.0,0.31337579848565333,0.31337579848565333,9.3,0.0
41,猫鼠游戏 Catch Me If You Can,9.1,9.157908134593798,-0.12613312082420225,-0.05790813459379862,-0.022038184434038044,9.13586995015976,-0.03586995015976058
42,天空之城 天空の城ラピュタ,9.2,9.087672011675853,-0.07939022404076052,0.11232798832414659,0.11232798832414659,9.2,0.0
43,鬼子来了,9.3,8.81987420057768,-0.11838542838339539,0.48012579942232136,0.38022660972748185,9.20010081030516,0.09989918969484002
44,摔跤吧！爸爸 Dangal,9.0,9.531797301209274,0.0,-0.5317973012092736,-0.5211741195759774,9.010623181633296,-0.010623181633295786
45,少年派的奇幻漂流 Life of Pi,9.1,9.366305409457663,-0.06141160964108039,-0.26630540945766334,-0.26630540945766334,9.1,0.0
46,钢琴家 The Pianist,9.3,8.968142224960353,0.0,0.33185777503964786,0.25503746768953867,9.223179692649891,0.07682030735010947
47,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,9.2,9.16147119617784,0.10363907030971875,0.03852880382215851,-0.007348056192630459,9.15412313998521,0.045876860014789855
48,死亡诗社 Dead Poets Society,9.2,9.071005058522012,0.0,0.12899494147798762,0.10064539989886327,9.171650458420874,0.02834954157912506
49,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,9.0,9.05799005427852,-0.31019610254504393,-0.057990054278519665,-0.14091908775852635,8.917070966519994,0.08292903348000635
50,何以为家 كفرناحوم,9.1,9.263599372646311,0.0,-0.16359937264631164,-0.16359937264631164,9.1,0.0
51,闻香识女人 Scent of a Woman,9.1,9.175258987347975,0.0,-0.07525898734797565,-0.061147927220230214,9.114111060127746,-0.0141110601277461
52,绿皮书 Green Book,8.9,9.583595016971614,0.0,-0.6835950169716138,-0.5347977162643741,9.04879730070724,-0.1487973007072405
53,大闹天宫,9.4,8.711620062787354,0.0,0.6883799372126465,0.7390203833536343,9.450640446140989,-0.050640446140988615
54,黑客帝国 The Matrix,9.1,9.126231794086797,0.0,-0.026231794086797322,0.016081492495081506,9.142313286581878,-0.04231328658187827
55,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,9.1,9.236894819045789,0.10363907030971875,-0.13689481904578926,-0.09440068982758967,9.1424941292182,-0.04249412921820017
56,罗马假日 Roman Holiday,9.1,9.194044851615526,0.0,-0.09404485161552678,-0.09404485161552678,9.1,0.0
57,教父2 The Godfather: Part II,9.3,9.16428211210689,0.3029247868100162,0.13571788789311157,0.06037352148081143,9.2246556335877,0.0753443664123008
58,狮子王 The Lion King,9.1,9.133869723372701,0.0,-0.033869723372701444,-0.033869723372701444,9.1,0.0
59,天堂电影院 Nuovo Cinema Paradiso,9.2,8.841908400816255,-0.12253947908116491,0.35809159918374434,0.35809159918374434,9.2,0.0
60,饮食男女 飲食男女,9.2,8.882686354622152,-0.06141160964108039,0.31731364537784756,0.3352105192354973,9.217896873857649,-0.01789687385764971
61,辩护人 변호인,9.2,8.885747635711404,0.0,0.3142523642885955,0.1956837829468235,9.081431418658227,0.11856858134177273
62,本杰明·巴顿奇事 The Curious Case of Benjamin Button,9.0,8.90804221793742,-0.3202687368270727,0.09195778206258076,0.08495084306056411,8.992993060997984,0.00700693900201621
63,搏击俱乐部 Fight Club,9.0,8.820722380458811,-0.3202687368270727,0.17927761954118893,0.12551580199133694,8.946238182450148,0.05376181754985154
64,美丽心灵 A Beautiful Mind,9.1,9.058625443814702,0.0,0.04137455618529806,0.022553450486225996,9.081178894300928,0.018821105699071694
65,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,9.2,8.867214126297837,0.0,0.3327858737021625,0.22700496699662498,9.094219093294463,0.10578090670553664
66,情书 Love Letter,8.9,9.345970272736778,0.0,-0.44597027273677803,-0.44597027273677803,8.9,0.0
67,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,9.0,8.880531311653339,-0.25982593237526164,0.11946868834666091,-0.05357009036248256,8.826961221290857,0.17303877870914341
68,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",9.1,8.901651837275017,0.0,0.198348162724983,0.198348162724983,9.1,0.0
69,窃听风暴 Das Leben der Anderen,9.2,8.858318415521516,0.0,0.34168158447848285,0.34168158447848285,9.2,0.0
70,音乐之声 The Sound of Music,9.1,8.909284379829801,0.0,0.19071562017019872,0.07368557851796782,8.982969958347768,0.11703004165223163
71,功夫,8.9,9.350893714937875,0.0,-0.4508937149378749,-0.4066228888692913,8.944270826068584,-0.04427082606858335
72,西西里的美丽传说 Malèna,8.9,9.099928793354568,-0.12253947908116491,-0.1999287933545677,-0.1999287933545677,8.9,0.0
73,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,9.0,9.081676794473534,0.0,-0.08167679447353393,-0.1172655253929957,8.964411269080538,0.035588730919462463
74,阿凡达 Avatar,8.8,9.243579710484191,-0.21988607227501533,-0.4435797104841903,-0.4337302034838495,8.809849507000342,-0.009849507000341262
